City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Grand Gaube,MU,65.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
297,Suhbaatar,MN,60.57,overcast clouds,50.2314,106.2078,Hotel Nine
298,Matagami,CA,69.73,clear sky,49.7502,-77.6328,Motel Le Caribou
299,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
301,Rock Falls,US,80.58,few clouds,41.7798,-89.689,"Country Inn & Suites by Radisson, Rock Falls, IL"
303,Khani,GE,63.97,moderate rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
304,Iguape,BR,65.93,moderate rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
307,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
308,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
313,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
314,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
315,Port Hawkesbury,CA,65.91,mist,45.6169,-61.3485,MacKenzie House Tourist Home B&B
316,Soyo,AO,69.19,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
319,Kondinskoye,RU,62.19,broken clouds,59.6481,67.41,Gostinitsa
320,La Libertad,EC,71.26,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
323,Daru,PG,77.25,broken clouds,-9.0763,143.2092,Daru Lodge
325,Kolondieba,ML,71.78,moderate rain,11.0882,-6.8926,Hotel Dakan
326,Maibong,IN,72.95,overcast clouds,25.3,93.1667,Juhi Cottage Maibang
327,Dingle,PH,76.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
328,Enderby,GB,69.37,scattered clouds,52.5878,-1.2062,Leicester Marriott Hotel
329,Bilma,NE,94.48,few clouds,18.6853,12.9164,Expeditions Ténére voyages
330,Johnson City,US,81.82,mist,36.3134,-82.3535,Hampton Inn Johnson City
335,Liverpool,GB,64.62,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
337,Victoria Point,AU,63.95,clear sky,-27.5833,153.3,Bay Retreat Motel
339,Cap Malheureux,MU,65.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
342,Montana,BG,72.84,scattered clouds,43.4125,23.225,Веста
345,Pingliang,CN,72.37,overcast clouds,35.5392,106.6861,North Gate Hostel
346,Alyangula,AU,71.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
347,Richards Bay,ZA,64.08,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
349,Idah,NG,73.63,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
350,Taltal,CL,67.73,clear sky,-25.4,-70.4833,Residencial Karime
351,Fairview,US,92.55,heavy intensity rain,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
352,Havre-Saint-Pierre,CA,64.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
353,Matara,LK,77.14,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
354,Bagar,IN,85.28,few clouds,28.1874,75.5005,"The Piramal Haveli (20th Century; Shekhavati, Rajasthan)"
356,Cap-Aux-Meules,CA,62.65,broken clouds,47.3821,-61.8597,Auberge Madeli
358,Yeppoon,AU,62.38,clear sky,-23.1333,150.7333,Villa Mar Colina
359,Kudahuvadhoo,MV,81.32,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
362,Mbuguni,TZ,61.18,broken clouds,-3.5667,36.95,kaza Moyo Modern Resort
363,Moengo,SR,78.93,overcast clouds,5.6167,-54.4,Masanga
365,Ulu Tiram,MY,80.46,scattered clouds,1.6,103.8167,Dajie Avenue Hotel
366,Manacapuru,BR,87.17,broken clouds,-3.2997,-60.6206,Novo Hotel
368,Kieta,PG,83.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
370,Bereda,ES,66.15,scattered clouds,43.2686,-7.5406,Pazo de Verdes
372,Prince Rupert,CA,65.23,clear sky,54.3161,-130.3201,Crest Hotel
373,Saurimo,AO,62.92,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
374,Malanje,AO,66.51,clear sky,-9.5402,16.341,Hotel Ginga
379,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
380,Acajutla,SV,80.38,overcast clouds,13.5928,-89.8275,Laureles
381,Shache,CN,83.71,overcast clouds,38.4167,77.2406,Delong Hotel
383,Curup,ID,67.37,broken clouds,-3.4667,102.5333,Ayi The Costel
386,Le Port,RE,66.2,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
387,Palmer,US,87.35,scattered clouds,42.1584,-72.3287,Wedgewood Motel
388,Rio Sereno,PA,69.53,overcast clouds,8.8167,-82.8667,Agua Luna Ecolodge
389,Mana,GF,80.51,broken clouds,5.6592,-53.7767,LE SAMANA
391,Novo Aripuana,BR,84.78,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
392,Yichun,CN,61.86,clear sky,47.7,128.9,锦江酒店
393,Kon Tum,VN,70.18,overcast clouds,14.35,108.0,Hoa đà spa- homestay
394,Limbe,CM,75.92,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
396,Sao Miguel Do Araguaia,BR,85.23,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
399,Vegreville,CA,71.91,clear sky,53.5001,-112.0518,Wild Rose Inn
401,Mae Hong Son,TH,72.68,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
402,Pisco,PE,60.85,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
403,Son La,VN,66.99,few clouds,21.3167,103.9,Galaxy Grand Hotel
405,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
409,Kupang,ID,77.54,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
410,Buin,CL,68.43,overcast clouds,-33.7333,-70.75,Paihuen
411,Maryborough,AU,60.44,clear sky,-25.5333,152.7,Blue Shades Motel
412,Wilmington,US,87.71,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
414,Gloucester,GB,69.73,scattered clouds,51.8657,-2.2431,Edward Hotel
416,Kemise,ET,69.19,light rain,10.7167,39.8667,Hussen Endris
418,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
421,Vieques,PR,84.22,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
424,Bandarbeyla,SO,78.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
425,Caravelas,BR,70.97,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
426,Kijang,KR,85.73,heavy intensity rain,35.2442,129.2139,Samyang Beach Villa
428,Yanam,IN,75.52,overcast clouds,16.7333,82.2167,The Regency Hotel
429,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
431,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
432,Nishihara,JP,85.68,few clouds,26.1842,127.7558,Minshuku Agaihama
433,Sampit,ID,73.89,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
435,Sisophon,KH,74.8,overcast clouds,13.5859,102.9737,Pyramid Hotel
436,Alta Floresta,BR,85.95,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
438,Mishan,CN,68.09,clear sky,45.55,131.8833,Mishan Hotel
440,Chandbali,IN,78.01,moderate rain,20.7833,86.7667,Sabitri Bhavan
441,Sambava,MG,68.85,light rain,-14.2667,50.1667,Melrose
444,Santa Rita,BR,75.87,clear sky,-7.1139,-34.9781,Infinity Motel
445,Camacari,BR,78.57,clear sky,-12.6975,-38.3242,Sítio Blasi
446,Panaba,MX,82.58,broken clouds,21.2833,-88.2667,Hotel Don Fernando
447,Viransehir,TR,78.4,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
448,Urucui,BR,79.81,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
451,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
452,Puerto Narino,CO,81.01,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
453,Laguna,US,94.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
456,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
457,Sinnamary,GF,78.93,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
458,Margate,GB,65.88,few clouds,51.3813,1.3862,Premier Inn Margate hotel
459,Sioux Lookout,CA,73.47,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
460,Hirara,JP,85.86,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
461,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
463,Northam,GB,65.39,scattered clouds,51.0333,-4.2167,Durrant House Hotel
465,Mitsamiouli,KM,76.06,scattered clouds,-11.3847,43.2844,Foyer ADM
466,Sri Aman,MY,77.05,light rain,1.2376,111.4621,Seri Simanggang Hotel
467,Nurota,UZ,71.11,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
469,Filadelfia,US,90.23,thunderstorm,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
471,Tautira,PF,72.93,light rain,-17.7333,-149.15,Pension Oaoa
472,Agropoli,IT,70.34,overcast clouds,40.3469,14.9966,B&B Baia di Trentova
473,Mogadishu,SO,75.58,overcast clouds,2.0371,45.3438,Hotel Juba
474,Den Helder,NL,64.38,few clouds,52.9599,4.7593,Hotel Den Helder
475,Kagadi,UG,67.24,broken clouds,0.9606,30.7967,River falls Lodge
476,Grants,US,86.23,scattered clouds,35.1473,-107.8514,"Motel 6 Grants, NM"
477,Kirakira,SB,82.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
478,Hauterive,FR,65.16,few clouds,46.0901,3.4459,Aletti Palace Hotel
481,Casablanca,MA,73.33,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
482,Fos-Sur-Mer,FR,77.11,clear sky,43.4377,4.9446,Ariane Hotel
483,Staraya Mayna,RU,64.51,few clouds,54.6,48.95,Tikhiy Dvorik
484,Nchelenge,ZM,67.15,clear sky,-9.3451,28.734,KD Travellers Home
485,Kashi,CN,69.01,broken clouds,39.4547,75.9797,帕米尔青年旅舍
486,Odweyne,SO,75.18,overcast clouds,9.4092,45.064,Eng Hiirey House
487,Jhalida,IN,75.76,overcast clouds,23.3667,85.9667,Iloo Sweets & Hotel
489,Meulaboh,ID,75.61,heavy intensity rain,4.1363,96.1285,Kost Pria
494,Bambanglipuro,ID,75.81,overcast clouds,-7.95,110.2833,Puri Brata
498,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
499,Hambantota,LK,78.13,overcast clouds,6.1241,81.1185,Bungalow 63
504,Carauari,BR,81.7,overcast clouds,-4.8828,-66.8958,Hotel Fellip
505,Lata,PT,62.73,clear sky,40.1629,-8.3327,Casa Maquia
506,Port Hardy,CA,64.58,fog,50.6996,-127.4199,Airport Inn-Port Hardy
507,Jiangyou,CN,76.39,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
509,Lompoc,US,86.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
510,Ambon,ID,78.24,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
511,Tukrah,LY,80.08,clear sky,32.5341,20.5791,Lagrota restaurant
513,Xining,CN,64.76,light rain,36.6167,101.7667,Super Leisure Hotel
515,La Asuncion,VE,83.93,broken clouds,11.0333,-63.8628,Colinas de Matasiete
520,Dwarka,IN,81.09,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
521,Kanniyakumari,IN,77.32,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
522,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
523,Lucapa,AO,67.98,clear sky,-8.4192,20.7447,Lírio Mendes
524,Cobija,BO,70.34,moderate rain,-11.0267,-68.7692,Hotel Obelisco
525,Saint-Pierre,RE,65.88,scattered clouds,-21.3393,55.4781,Alize Plage
526,Meiganga,CM,66.04,overcast clouds,6.5167,14.3,DFR HOUSE
528,Vermillion,US,89.76,clear sky,42.7794,-96.9292,"Holiday Inn Express & Suites Vermillion, an IHG Hotel"
532,Bideford,GB,66.09,scattered clouds,51.0179,-4.2046,Durrant House Hotel
534,Abu Kamal,SY,87.03,clear sky,34.4506,40.9171,البوكمال
535,Mallow,IE,63.63,clear sky,52.1333,-8.6333,Annabella Lodge 4 Star Bed & Breakfast (B&B) Accommodation Mallow
536,Hamilton,US,84.25,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
537,Himare,AL,78.71,few clouds,40.1017,19.7447,Hotel Dima
538,Warrington,GB,64.94,clear sky,53.3925,-2.5802,Villaggio Hotel
539,Marsa Matruh,EG,78.12,clear sky,31.3525,27.2453,Beau Site
540,Mehriz,IR,84.7,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
542,Tirano,IT,69.48,clear sky,46.2154,10.1679,Hotel Corona Tirano
544,Tuckahoe,US,93.11,clear sky,37.5901,-77.5564,The Westin Richmond
546,Qui Nhon,VN,79.43,overcast clouds,13.7667,109.2333,Seagull Hotel
547,Punta Gorda,US,86.05,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
548,Tole,UA,71.96,overcast clouds,44.7167,33.8167,"Kompleks ""Rus'"""
549,Zhangjiakou,CN,66.79,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
552,Trairi,BR,78.12,clear sky,-3.2778,-39.2689,janelas do mar
553,Barahona,DO,85.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
554,Kulai,MY,80.42,few clouds,1.6561,103.6032,Hotel U and Me
555,Boyolangu,ID,73.74,overcast clouds,-8.1181,111.8935,Yos ega cv
556,Pakdasht,IR,78.8,clear sky,35.4752,51.6807,واحد تعمیرات اداره گاز پاکدشت
557,La Ronge,CA,70.05,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
558,Surskoye,RU,60.51,broken clouds,54.4821,46.7214,Sura
559,Aljezur,PT,63.0,clear sky,37.3191,-8.8033,Amazigh Hostel
561,Manica,FR,60.62,few clouds,49.0,-1.1667,Gite Lily
562,Pacific Grove,US,80.55,clear sky,36.6177,-121.9166,Lovers Point Inn
563,Culaman,PH,80.47,overcast clouds,5.9603,125.6586,Jasmin Ex House
564,Kiunga,PG,73.54,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
567,Vanimo,PG,79.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
568,Booue,GA,76.14,few clouds,-0.0921,11.9385,Splendeur de l'équateur
572,Sisak,HR,67.98,scattered clouds,45.4661,16.3783,Hotel Panonija
573,Sibiti,CG,72.18,few clouds,-3.6819,13.3499,Gaby et confort
